name,command,numeber_of_execution,buildable,category,dockerfile_loc,from,label,env,run,volume,copy,entrypoint,cmd,workdir,user,expose,maintainer,arg,stopsignal,add,shell,total_instructions,from_cmds,label_cmds,env_cmds,run_cmds,volume_cmds,copy_cmds,entrypoint_cmds,cmd_cmds,workdir_cmds,user_cmds,expose_cmds,maintainer_cmds,arg_cmds,stopsignal_cmds,add_cmds,shell_cmds,total_cmds,cpp,java,ansic,pascal,javascript,python,cs,ruby,php,earlang,perl,sh,xml,yacc,ml,lisp,lex,asm,f90,awk,obj,tcl,sed,total_loc,apt-get,cURL,wget,yum,gitclone,npm,resource1,resource2,resource3,resource4,tot_kbs,tot_cmd_network,bitrate,average_time
fsprojects_docker-fsharp,docker build -t fsprojects_docker-fsharp fsprojects_docker-fsharp10.7.0netcore.,10,true,language,41,1,1,2,3,0,0,0,1,1,0,0,0,0,0,0,0,9,1,0,3,82,1,2,1,1,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,3080,0,0,0,64,775,174086,0,1007,0,0,0,0,0,0,0,0,179012,2,1,0,0,0,0,110592,0,0,0,110592,3,2390,874.2
geonetwork_docker-geonetwork,docker build -t geonetwork_docker-geonetwork geonetwork_docker-geonetwork3.8.3.,10,true,application_platform,24,1,0,5,1,0,1,1,1,1,0,0,0,0,0,0,0,11,1,1,4,33,0,0,0,2,1,0,0,0,0,0,0,0,42,0,330,0,0,290470,0,0,0,0,0,0,225,187231,0,0,0,0,0,0,0,0,0,0,478256,0,1,0,0,0,0,204800,0,0,0,204800,1,2390,643.7
hashicorp_docker-vault,docker build -t hashicorp_docker-vault hashicorp_docker-vault0.X.,10,true,other,80,1,0,0,3,2,1,1,1,0,0,1,0,1,0,0,0,11,1,0,0,44,2,1,1,2,0,0,1,0,1,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,61,0,3,0,0,0,0,48105,0,0,0,48105,3,2390,205.4
haskell_docker-haskell,docker build -t haskell_docker-haskell haskell_docker-haskell7.8. ,10,true,language,41,1,0,1,3,0,0,0,1,0,0,0,0,3,0,0,0,9,1,0,0,44,2,2,1,2,0,0,1,0,1,0,0,0,54,0,0,12,0,23,0,0,0,0,0,64,1051,0,0,0,9,0,0,0,0,0,0,0,1159,4,2,0,0,0,0,14131.2,0,0,0,14131.2,6,2390,377.6
HaxeFoundation_docker-library-haxe,docker build -t HaxeFoundation_docker-library-haxe HaxeFoundation_docker-library-haxe4.0alpine3.11.,10,true,language,94,1,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,8,1,0,1,30,0,1,0,1,0,0,0,0,3,0,0,0,37,0,0,19385,0,0,0,0,0,0,0,64,294,0,0,4924,0,0,0,0,0,0,0,0,24667,0,0,1,0,1,0,21606.4,514,0,0,22120.4,2,2390,1209.8
hylang_hy,docker build -t hylang_hy hylang_hy.,10,true,language,10,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,5,1,3,1,62,0,0,0,1,0,0,0,0,0,0,0,0,68,0,0,0,0,0,5089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5089,1,0,0,0,0,0,834,0,0,0,834,1,2390,144.9
ibmruntimes_ci.docker,docker build -t ibmruntimes_ci.docker ibmruntimes_ci.dockeribmjava8maven,10,true,language,36,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,6,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1195,0,0,0,0,0,0,0,0,0,0,0,1195,0,0,1,0,0,0,8294.4,0,0,0,8294.4,1,2390,382.9
jenkinsci_docker,docker build -t jenkinsci_docker jenkinsci_docker.,10,true,application_platform,84,1,0,8,6,1,6,1,0,0,1,2,0,12,0,0,0,38,1,0,8,25,1,6,3,0,0,1,2,0,12,0,0,0,59,0,0,2457,0,0,457,0,103,0,0,281,21375,0,0,0,0,0,5171,0,0,0,0,0,29844,4,4,0,0,0,0,5.8,85.8,75571.2,0,75662.8,8,2390,917.3
joomla_docker-joomla,docker build -t joomla_docker-joomla joomla_docker-joomlaphp7.4apache.,10,true,application_platform,85,1,1,3,3,1,2,1,1,0,0,0,0,0,0,0,0,13,1,1,3,51,1,2,1,1,0,0,0,0,0,0,0,0,61,0,0,0,0,116135,0,0,0,385244,0,64,577,47987,0,0,0,0,0,0,0,0,0,0,550007,2,1,0,0,0,0,7782.4,0,0,0,7782.4,3,2390,280.0
juanluisbaptiste_docker-brew-mageia,docker build -t juanluisbaptiste_docker-brew-mageia juanluisbaptiste_docker-brew-mageiadist6armv7hl.,10,true,linux_distro,17,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,4,1,1,3,51,1,2,1,1,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,857,0,0,64,1660,0,0,0,0,0,0,0,0,0,0,0,2581,0,0,1,0,0,0,2969.6,0,0,0,2969.6,1,2390,1109.4
keeganwitt_docker-gradle,docker build -t keeganwitt_docker-gradle keeganwitt_docker-gradlejdk8.,10,true,other,51,1,0,2,3,1,0,0,1,1,0,0,0,1,0,0,0,10,1,0,2,33,1,0,0,1,1,0,0,0,1,0,0,0,40,0,22,0,0,0,0,0,0,0,0,0,154,2,0,0,0,0,0,0,0,0,0,0,178,2,0,1,0,0,0,99328,0,0,0,99328,3,2390,606.5
Lightstreamer_Docker,docker build -t Lightstreamer_Docker Lightstreamer_Docker7.1jdk11.,10,true,web_component,47,1,1,2,2,0,0,0,1,1,1,1,0,0,0,0,0,10,1,0,2,33,1,0,0,1,1,0,0,0,1,0,0,0,40,0,0,0,0,4165,0,0,0,0,0,0,788,675,0,0,0,0,0,0,0,0,0,0,5628,0,2,0,0,0,0,45568,0,0,0,45568,2,2390,1118.0
mongo-express_mongo-express-docker,docker build -t mongo-express_mongo-express-docker mongo-express_mongo-express-docker.,10,true,database,31,1,0,2,3,0,1,1,1,1,0,1,0,0,0,0,0,11,1,0,7,6,0,1,3,1,1,0,1,0,0,0,0,0,21,1762856,0,705114,0,1274994,82855,186,0,0,0,1141908,4982,1980,0,0,521,0,572047,0,0,0,0,5,5547448,0,0,0,0,0,1,29696,0,0,0,29696,1,2390,187.6
mono_docker,docker build -t mono_docker mono_docker6.8.0.96.,10,true,language,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,7,6,0,1,3,1,1,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,55,1,0,0,0,0,0,0,0,0,0,0,1,2390,25.4
nats-io_nats-streaming-docker,docker build -t nats-io_nats-streaming-docker nats-io_nats-streaming-dockeramd64.,10,true,application_platform,10,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,5,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,53,0,0,91,0,0,0,0,64,1323,0,0,0,0,0,5922,0,0,0,0,0,7453,0,0,0,0,0,0,0,0,0,0,0,0,2390,8.6
nginxinc_docker-nginx,docker build -t nginxinc_docker-nginxstablealpine.,10,true,web_component,110,1,1,3,1,0,0,0,1,0,0,1,0,0,1,0,0,9,1,1,3,78,0,0,0,3,0,0,1,0,0,1,0,0,88,0,0,0,0,0,0,0,0,0,0,1141908,78,0,0,0,0,0,0,0,0,0,0,0,1141986,0,0,1,0,0,0,1,0,0,0,1,1,2390,59.1
nodejs_docker-node,docker build -t nodejs_docker-node nodejs_docker-node13alpine3.10.,10,true,web_component,100,1,0,2,2,0,1,1,1,0,0,0,0,0,0,0,0,8,1,1,3,78,0,0,0,3,0,0,1,0,0,1,0,0,88,1762856,0,705114,0,1274994,82855,186,0,0,0,0,5677,1980,0,0,521,0,572047,0,0,0,0,5,4406235,0,5,0,0,0,0,1228.8,0,0,0,1228.8,5,2390,143.2
OpenLiberty_ci.docker,docker build -t OpenLiberty_ci.docker OpenLiberty_ci.docker/samples/spring-petclinic.,10,true,web_component,13,2,0,0,2,0,4,0,0,0,0,0,0,2,0,0,0,10,2,0,0,4,0,3,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,512,318,0,0,0,0,0,0,0,0,0,0,830,0,0,0,0,0,0,0,0,0,0,0,0,2390,74.3
orientechnologies_orientdb-docker,docker build -t orientechnologies_orientdb-docker orientechnologies_orientdb-docker3.0arm64v8openjdk-slim.,10,true,database,46,1,0,5,2,1,0,0,1,1,0,2,1,1,0,0,0,15,2,0,0,4,0,3,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,11829,0,0,0,0,0,0,172,769,0,0,0,0,0,0,0,0,0,0,12770,0,0,1,0,0,0,37990.4,0,0,0,37990.4,1,2390,385.2
osrf_docker_images,docker build -t osrf_docker_images osrf_docker_imagesdocker.,10,true,other,14,1,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,7,1,0,5,12,3,0,0,1,1,0,2,1,1,0,0,0,27,0,0,0,0,0,345,0,0,0,0,64,525,0,0,0,0,0,0,0,0,0,0,0,934,0,0,0,0,1,0,316.8,0,0,0,316.8,1,2390,74.3
Perl_docker-perl,docker build -t Perl_docker-perl Perl_docker-perl5.030.002-main-stretch.,10,true,language,29,1,1,0,1,0,1,0,1,2,0,0,0,0,0,0,0,7,1,0,1,4,0,1,0,0,2,0,0,0,0,0,0,0,9,7936,0,613460,8323,0,0,0,0,0,0,488096,39970,2411,1126,0,5,0,0,0,0,0,0,0,1161327,2,2,0,0,0,0,12392.2,0,0,0,12392.2,4,2390,1052.6
plone_plone.docker,docker build -t plone_plone.docker plone_plone.docker5.25.2.0python2.,10,true,application_platform,57,1,1,1,2,1,2,1,1,1,0,1,0,0,0,0,0,12,1,1,0,35,0,1,0,2,2,0,0,0,0,0,0,0,42,0,0,0,0,0,578,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,0,951,3,0,1,0,0,0,4300.8,0,0,0,4300.8,4,2390,1491.2
postfixadmin_docker,docker build -t postfixadmin_docker postfixadmin_dockerapache.,10,true,application_platform,61,1,1,3,3,0,1,1,1,0,0,0,0,2,0,0,0,13,1,6,8,24,1,2,1,3,1,0,1,0,0,0,0,0,48,0,0,0,0,5315,169,0,0,27997,0,1128,1099,72,0,0,0,0,0,0,0,0,0,0,35780,2,1,0,0,0,0,4096,0,0,0,4096,3,2390,115.6
Quantisan_docker-clojure,docker build -t Quantisan_docker-clojure Quantisan_docker-clojuretargetopenjdk-15-tooldeps.,10,true,language,20,1,0,4,2,0,0,0,1,1,0,0,0,0,0,0,0,9,1,1,3,33,0,1,1,1,0,0,0,0,2,0,0,0,43,0,0,1838,0,0,0,0,0,0,0,64,3940,0,0,0,0,0,4044,0,0,0,0,0,9886,0,0,1,0,0,0,1.5,0,0,0,1.5,1,2390,449.6
rocker-org_rocker,docker build -t rocker-org_rocker rocker-org_rockerr-ubuntu.,10,true,language,58,1,1,3,4,0,0,0,1,0,0,0,0,0,0,0,0,10,1,4,3,31,0,0,0,1,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,661,1140,0,0,0,0,0,0,0,0,0,0,0,1801,4,0,0,0,0,0,0,0,0,0,0,4,2390,689.2
