name,FROM,LABEL,ENV,RUN,VOLUME,COPY,ENTRYPOINT,CMD,WORKDIR,USER,EXPOSE,MAINTAINER,ARG,STOPSIGNAL,ADD,SHELL,numberOfFeatures
rocker-org_rocker.json,1,1,3,4,0,0,0,1,0,0,0,0,0,0,0,0,10
covid19-italy.json,1,0,0,2,0,2,0,1,1,0,1,1,0,0,0,0,9
SWI-Prolog_docker-swipl.json,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,6
Perl_docker-perl.json,1,1,0,1,0,1,0,1,2,0,0,0,0,0,0,0,7
docker-library_postgres.json,1,0,6,12,1,1,1,1,0,0,1,0,0,0,0,0,24
docker-library_pypy.json,1,0,6,3,0,0,0,1,0,0,0,0,0,0,0,0,11
ahawkins_docker-thrift.json,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4
jenkinsci_docker.json,1,0,8,6,1,6,1,0,0,1,2,0,12,0,0,0,38
arangodb_arangodb-docker.json,1,0,5,4,1,1,1,1,0,0,1,1,0,0,0,0,16
backdrop-ops_backdrop-docker.json,1,0,2,3,0,1,1,1,1,0,0,0,0,0,0,0,10
friendica_docker.json,1,0,3,6,1,2,1,1,0,0,0,0,0,0,0,0,15
ExpressGateway_express-gateway.json,1,1,4,1,1,2,0,1,0,0,1,0,1,0,0,0,13
WASdev_ci.docker.json,2,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,7
docker-library_golang.json,1,0,2,2,0,1,0,0,1,2,0,0,0,0,0,1,10
varnish_docker-varnish.json,1,0,2,1,0,1,1,1,1,0,1,0,0,0,0,0,9
aws_aws-eb-glassfish-dockerfiles.json,1,0,3,2,0,0,0,1,1,0,1,0,0,0,0,0,9
docker-library_ruby.json,1,0,6,4,0,0,0,1,0,0,0,0,0,0,0,0,12
containous_traefik-library-image.json,1,1,0,2,0,1,1,1,0,0,1,0,0,0,0,0,8
tianon_docker-bash.json,1,0,4,1,0,1,1,1,0,0,0,0,0,0,0,0,9
docker-library_php.json,1,0,0,2,0,2,0,1,0,0,1,0,0,0,0,0,7
matomo-org_docker.json,1,1,1,3,1,2,1,1,0,0,0,0,0,0,0,0,11
docker-library_cassandra.json,1,0,7,5,1,1,1,1,0,0,1,0,0,0,0,0,18
Bonitasoft-Community_docker_bonita.json,1,0,6,7,1,2,0,1,0,0,1,1,0,0,0,0,20
composer_docker.json,1,0,3,4,0,1,1,1,1,0,0,0,0,0,0,0,12
erlang_docker-erlang-otp.json,1,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,8
keeganwitt_docker-gradle.json,1,0,2,3,1,0,0,1,1,0,0,0,1,0,0,0,10
docker-library_haproxy.json,1,0,3,1,0,1,1,1,0,0,0,0,0,1,0,0,9
Raku_docker.json,1,0,2,2,0,0,0,1,0,0,0,1,1,0,0,0,8
TimWolla_docker-spiped.json,1,0,3,3,1,1,1,1,1,0,0,0,0,0,0,0,12
neo4j_docker-neo4j.json,1,0,2,2,1,2,1,1,1,0,1,0,1,0,0,0,13
docker-library_python.json,1,0,7,4,0,0,0,1,0,0,0,0,0,0,0,0,13
docker-library_tomcat.json,1,0,8,3,0,0,0,1,1,0,1,0,0,0,0,0,15
juanluisbaptiste_docker-brew-mageia.json,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,4
c0b_docker-elixir.json,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4
alpinelinux_docker-alpine.json,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,5
