"","dockerfile_loc","from","label","env","run","volume","copy","entrypoint","cmd","workdir","user","expose","maintainer","arg","stopsignal","add","shell","total_instructions","from_cmds","label_cmds","env_cmds","run_cmds","volume_cmds","copy_cmds","entrypoint_cmds","cmd_cmds","workdir_cmds","user_cmds","expose_cmds","maintainer_cmds","arg_cmds","stopsignal_cmds","add_cmds","shell_cmds","total_cmds","cpp","java","ansic","pascal","javascript","python","cs","ruby","php","earlang","perl","sh","xml","yacc","ml","lisp","lex","asm","f90","awk","obj","tcl","sed","total_loc","apt.get","cURL","wget","yum","gitclone","npm","resource1","resource2","resource3","resource4","tot_kbs","tot_cmd_network","bitrate","average_time"
"user",0.164721469163264,-0.0765944409567813,0.16870636507084,0.189790881932278,0.0262156682735751,-0.0175622833555307,0.13255058994408,0.0780763315142435,-0.146203017659222,0.23050125118707,1,0.287323660958674,-0.110792414376932,0.236640460324774,0.158314871442606,-0.062084263310826,0.575328636097385,0.29895500213974,-0.0891012248116748,-0.0482773997127169,0.100774782240459,0.146683464988764,-0.111237076372615,-0.0115052552276292,0.125907251546662,-0.0185312329165275,0.0402037066023959,0.322064096859423,-0.0025817823631436,-0.100370043899779,0.175614218467189,0.069053449229048,-0.0435855027346504,NA,0.160735956009457,0.0879363882829044,-0.0740486674667947,0.233069039422981,-0.0698349572745196,0.0955946165967677,0.0909530320826179,-0.0519909609297694,-0.0517334540418094,-0.0393305257434507,-0.044054156899511,0.0935451068731017,0.219156825362375,-0.0908212232937073,-0.0737652252394926,-0.0590559050697933,-0.0367896650305006,-0.0435855027346504,0.170172303325072,0.575328636097385,0.126320165456232,0.267454024220125,-0.043690928333256,-0.0398802106406676,0.11982247099896,0.0831210272315426,0.16735264396586,0.0994577380899795,-0.0435855027346504,-0.0590609847360481,-0.0435855027346504,-0.0461588086067672,0.120857720447492,0.18993743533064,-0.0437160343300084,0.0710738072030352,0.168811935173324,NA,0.132575545222099
"expose",0.239347416835017,-0.0499878870561857,0.160864715314504,0.308215903494099,0.303208508145418,0.426201351700085,0.358090205222826,0.343371666549741,0.219352272553368,0.203658215377832,0.287323660958674,1,0.111042180167716,0.320637907293381,0.16496654597171,-0.143260421501748,-0.100574238303683,0.601308737246123,0.126165163293427,-0.0397721652947565,0.125915525950604,0.0123255121801883,0.0194455542890979,0.185610053760353,0.120054949720366,-0.158251961497358,-0.0624718452079239,0.0967891280017899,0.128627921207111,-0.0322843984253107,0.217616275085717,0.0155759460856082,-0.100574238303683,NA,0.046567118231505,0.0407740284023017,0.109990432932372,0.091960510147881,-0.161145270656045,0.0586692279841343,0.0157245499968202,-0.125388020972803,-0.119180375754185,-0.123487125117462,-0.101655665216334,0.174318545722599,0.0926091888092987,-0.105668110675639,-0.170214426272146,-0.136272436867114,-0.100083884328261,-0.100574238303683,0.0692240434943855,-0.100574238303683,-0.12600250016433,0.115541859557052,0.115576251931846,-0.111090066174866,0.0651586477251054,0.00624130445847935,0.0811231650060192,0.274731456846618,0.115812759258786,-0.136284158277499,0.115812759258786,0.0644005619473287,0.139479341993404,0.147549825884083,0.115522834311203,0.16023217525084,0.174192857419933,NA,0.0742537592966833
"maintainer",-0.151242632902855,-0.0638153444717276,-0.061050973914432,-0.0181424727557022,-0.0852683617310914,0.00573810732058096,-0.0555100135410928,-0.299572344757639,0.130088727117598,0.0334960782247868,-0.110792414376932,0.111042180167716,1,-0.0162837899979825,-0.0517260600111872,0.560365650121194,-0.0363136519601281,-0.0113301785022849,0.145377821761382,-0.0292809276253965,-0.194737459179826,-0.133403333765672,-0.107498323676571,-0.0176879106841527,-0.177218698494607,-0.20202701156241,-0.230750761104087,-0.137019874080697,-0.231236273098599,0.114286408034302,-0.0665867944529406,-0.0742354834526207,0.393397896234722,NA,-0.184251924666877,-0.0738150001362636,0.288224440521213,-0.0931959750983193,-0.0581836201031413,-0.069164035740597,-0.0722541198336444,-0.0482826253108312,-0.0424789867125772,-0.0497249431269997,-0.0367041153749021,-0.0719701381687652,-0.0908509868242568,0.084228673582551,-0.0614581580580885,-0.0492029562203475,-0.0445341728233829,-0.0363136519601281,-0.0687877135612413,-0.0363136519601281,-0.0454948604557905,-0.0364142236163219,-0.0364014882418101,-0.0507012611955796,-0.0704901268434796,-0.145245445216861,-0.195338612093645,0.225082525059967,-0.0363136519601281,-0.0492071883897818,-0.0363136519601281,-0.103412087691,-0.0310933105258709,0.113494140726044,0.393305434490095,-0.00746845176808864,-0.0982142700603818,NA,0.242786397331794
"arg",0.102023070817246,0.214181529354356,0.0288994546045035,0.25899206970889,0.16442950627998,0.205563896107298,0.470415564827101,0.186299755585322,-0.193539018277751,-0.0622209169996572,0.236640460324774,0.320637907293381,-0.0162837899979825,1,-0.0589607409051649,-0.0589607409051649,-0.0413926717804987,0.590736759468481,0.0226656566801471,-0.0467393861732329,0.258375297322062,0.032703185408755,0.239458883513511,0.415222319665021,0.17470041679384,-0.135335065665232,-0.162622851249104,0.129843610594243,0.171632318736402,0.0658164148458236,0.785711960312585,-0.0846184516058827,0.0285806543246301,NA,0.135271424433082,-0.0841391572643977,-0.0133386362853008,-0.105077519545244,-0.0663214895757363,-0.0800708514272105,-0.0948040736517232,-0.0550356891778996,-0.0490281637058778,-0.0465845890021678,-0.0418377474778639,-0.0818457371983258,0.245370988255845,-0.0642120005025142,-0.0700540217636511,-0.0560847424460447,-0.0505684513375302,-0.0413926717804987,-0.0739725830927204,-0.0413926717804987,-0.0518580127554728,-0.0415073099215432,-0.0414927933100566,-0.0577926082959174,-0.112831840246438,0.179246556383698,0.238106951237008,0.0737331113321065,-0.0413926717804987,-0.0560895665491259,-0.0413926717804987,0.00585599849066286,-0.0603362071467244,0.392013629983429,0.0284593428328013,0.197042928383784,0.258185425559374,NA,0.118157844405464
"stopsignal",0.107519527230611,-0.0357599269926076,0.0787645581423532,0.0278238823215192,-0.0347334466181696,-0.110932619251107,-0.00785833385082715,0.00239814359612064,0.0728972541446915,0.0187700516509431,0.158314871442606,0.16496654597171,-0.0517260600111872,-0.0589607409051649,1,-0.0289855072463768,-0.020348923188912,0.0308288575132039,-0.0415990149469889,-0.0317365766922193,-0.00771296580821684,0.166337825878062,-0.101761903280671,-0.0326126823264744,0.0587827793623955,0.344228984804091,0.0187700516509431,0.150363243686726,0.0843756327019059,-0.0468601297596278,-0.054857453143113,0.696783500362065,-0.020348923188912,NA,0.175749369927392,-0.0413633905400534,-0.0345713724055586,-0.0522238231746484,-0.0326041021055014,-0.039656707357678,-0.0482364940081522,-0.027055924721862,-0.0241801272814366,0.0196446677934009,-0.0205677254741804,0.372861670126252,-0.0638851736961989,-0.0448568430214193,-0.0344390406954719,-0.0275716465502997,-0.0249554207067846,-0.020348923188912,-0.0385462718300955,-0.020348923188912,-0.0254937570564821,-0.0204052800904187,-0.0203981436240009,-0.0284112451918254,0.030983493809771,-0.127620395470987,0.0245343729081923,-0.0416489945750513,-0.020348923188912,-0.0275740181126762,-0.020348923188912,-0.0885281136727416,-0.0227030400047028,-0.0403599471725437,-0.0204098649525952,-0.100742249522311,-0.109007576412944,NA,-0.129598239225532
"add",-0.211945641733575,-0.0357599269926076,-0.0906985821033158,-0.200117922850927,-0.19130961867468,-0.110932619251107,-0.147343759703009,-0.167870051728445,0.0728972541446915,-0.129304800262052,-0.062084263310826,-0.143260421501748,0.560365650121194,-0.0589607409051649,-0.0289855072463768,1,-0.020348923188912,-0.192238544620552,-0.0415990149469889,0.106220379133142,-0.0685596960730386,0.159246870827121,0.0228087024594606,-0.0326126823264744,-0.0360712509723791,-0.04786071446474,-0.129304800262052,-0.0767812308187538,-0.129576864506498,-0.0468601297596278,-0.054857453143113,-0.0415990149469889,-0.020348923188912,NA,0.132399111123816,-0.0413633905400534,-0.0345713724055586,-0.0522238231746484,-0.0326041021055014,-0.0400597408339796,-0.027226696239072,-0.027055924721862,-0.0230510404541756,-0.0278641500826006,-0.0205677254741804,-0.0403218740939893,-0.0478624144750339,-0.0448568430214193,-0.0344390406954719,-0.0275716465502997,-0.0249554207067846,-0.020348923188912,-0.0385462718300955,-0.020348923188912,-0.0254937570564821,-0.0204052800904187,-0.0203981436240009,-0.0284112451918254,-0.0596191905978297,-0.0813905583360884,-0.109461048359627,-0.0416489945750513,-0.020348923188912,-0.0275740181126762,-0.020348923188912,-0.0834202411091189,-0.0402934613980384,-0.0403599471725437,-0.0204098649525952,-0.0989212646114087,-0.141390580284572,NA,0.0360949808781785
"shell",0.0085112809532015,-0.0251048222626717,-0.0636738375794442,-0.0338078397533163,-0.0518647939861455,-0.0778788975158534,-0.00551684780135414,-0.117851130197758,-0.279145263119541,0.117131437384398,0.575328636097385,-0.100574238303683,-0.0363136519601281,-0.0413926717804987,-0.020348923188912,-0.020348923188912,1,-0.0272950249663615,-0.0292040830162285,-0.0545639462887837,-0.0481315016289667,0.0645052018514158,-0.071440707792847,-0.118517040574865,-0.0919145030018058,-0.125353969579354,0.117131437384398,-0.0539033302056925,-0.0909678633701463,-0.0328975847479884,-0.0385120084620248,-0.0292040830162285,-0.0142857142857143,NA,0.0297411021498629,-0.0290260524078259,-0.0242704119557514,-0.0334051003392185,-0.022889313743896,-0.0277922698106158,-0.0317944268401951,-0.0189942832219703,-0.0169753645698083,-0.0195616880165529,-0.014439321771643,-0.0277349147626181,-0.00821931109299151,-0.0302573961760048,-0.024177510086513,-0.0193563394656138,-0.0175196498992723,-0.0142857142857143,0.0813765808373239,1,0.278605699247923,-0.0115520143244959,-0.0143202688941411,-0.0199457694907881,-0.0295651912940094,-0.0895943480548299,-0.0768457990510503,0.014930640309885,-0.0142857142857143,-0.0193580043921658,-0.0142857142857143,-0.016940919441743,-0.0282875350096406,-0.028334210539831,-0.0143284977104667,-0.0336716577135821,-0.0992615389957022,NA,0.0711847164297521
"total_instructions",0.540543159089451,-0.0135663033419592,0.195196938157498,0.726030491813973,0.748423207784507,0.510048186243472,0.567764465835604,0.443846451827304,0.193406494093563,0.163609452309631,0.29895500213974,0.601308737246123,-0.0113301785022849,0.590736759468481,0.0308288575132039,-0.192238544620552,-0.0272950249663615,1,-0.0557988322533355,-0.000824895095749022,0.32189210482768,0.097210579221916,0.0626627575040754,0.269981868801893,0.209936239332392,-0.0128445805728731,-0.125292627209137,0.155526046092733,0.188547078956038,-0.0538401434016783,0.437018551494843,-0.00577715182420898,-0.105595904667843,NA,0.179717031120367,-0.0490331937816171,0.305210558340042,-0.00753009261243851,-0.0932551637735799,-0.00130407040685207,-0.012740129767403,-0.15294362736449,0.030884364680967,0.0268348907804922,-0.0679922257562905,-0.0122293566904771,0.157163158731832,0.0642038668822834,-0.0470243800648904,-0.100961647911783,-0.0761867808158758,-0.144746344518584,-0.00286588468925314,-0.0272950249663615,-0.0529981160597334,0.0509330262268975,0.0510824917547843,-0.0752583482556719,-0.00303874120087482,0.277295549505015,0.248953962844529,0.396788169294219,0.129306734436601,-0.13172070324605,-0.00771980504099113,0.11995338177619,0.251495016852524,0.379283786623622,0.324762912700189,0.357261152864416,0.505336762650773,NA,0.360935437012512
"from_cmds",-0.0399112033237821,0.252330373718131,0.113040217085257,-0.0963740814740489,-0.134115562568291,0.0865253941187898,0.0387681720336112,-0.118739829549883,-0.0641984288221239,-0.0793178573787071,-0.0891012248116748,0.126165163293427,0.145377821761382,0.0226656566801471,-0.0415990149469889,-0.0415990149469889,-0.0292040830162285,-0.0557988322533355,1,-0.111544301197747,0.0762557730327933,-0.214140653174601,-0.14604522527843,0.344151568785546,-0.0517682335383022,-0.16247370613309,0.026938140241825,0.0528012021163944,-0.10919997411658,0.171492767588439,0.147883889075136,-0.0597014925373134,-0.0292040830162285,NA,-0.180881326819393,-0.0583269614670934,-0.0492791279151403,-0.0317599186141034,-0.0467922993132867,-0.0540017090760745,-0.037089939497789,-0.0388297436833724,-0.0347024969289198,-0.039989681254108,-0.0295181006201968,-0.0563473090290313,-0.0729551331909055,-0.0576553999710606,-0.0494257408184559,-0.039569890125086,-0.0358151717051525,-0.0292040830162285,-0.055320299361374,-0.0292040830162285,-0.0365877737392388,-0.0292849645260195,-0.0292747225119447,-0.0407748535622073,-0.0745173125562182,-0.0172877265714269,-0.15709477664547,0.0305224961366729,-0.0292040830162285,0.462159537265563,-0.0292040830162285,-0.0851283324782712,-0.0516890871443328,-0.0578490600606113,-0.0277661213035545,-0.111193620036745,0.0294559774490955,NA,-0.0751575084193683
"label_cmds",0.0235855176750897,0.206690342183731,0.135467062014317,-0.037447189794527,-0.00916565193782888,-0.144417334139763,0.116068675615663,0.128179759914446,0.0482746550302052,-0.0687847890935582,-0.0482773997127169,-0.0397721652947565,-0.0292809276253965,-0.0467393861732329,-0.0317365766922193,0.106220379133142,-0.0545639462887837,-0.000824895095749022,-0.111544301197747,1,0.0418612457661099,0.0673294067920786,-0.050182268689455,0.107338375324132,-0.0288972085047164,0.140345323603605,-0.108489829952441,0.159558928966551,0.369670206256195,-0.095914011389786,-0.132982465079415,-0.0455472563224133,-0.0545639462887837,NA,0.150851880470994,0.0727009584235982,-0.0919372897149546,0.0834731321824159,-0.0850299732606157,0.0944053023547652,0.0505515839160979,-0.0663301987528642,-0.0647360832271516,0.0413204065969319,0.0094246289873009,0.0775729985966767,-0.0239641700709942,-0.0372360537205223,-0.0923454253229916,-0.0739310786864451,0.0148005709786657,-0.0545639462887837,0.0875252382159113,-0.0545639462887837,-0.0683593907065882,0.0744241716562773,-0.0546959267946597,0.00871536433861609,0.0807402240078471,0.108189842875996,-0.0420023937961593,0.0963918526920991,-0.0545639462887837,-0.073937437833852,-0.0545639462887837,0.219656434029744,0.106300759827771,-0.0660015906514872,-0.0547264390753611,0.168412438469268,0.0781898664690396,NA,-0.00730625880197705
