name,command,numeber_of_execution,buildable,Build_1,Build_2,Build_3,Build_4,Build_5,Build_6,Build_7,Build_8,Build_9,Build_10,average_time,σ_std_dev,variance,category,dockerfile_loc,from,label,env,run,volume,copy,entrypoint,cmd,workdir,user,expose,maintainer,arg,stopsignal,add,shell,total_instructions,from_cmds,label_cmds,env_cmds,run_cmds,volume_cmds,copy_cmds,entrypoint_cmds,cmd_cmds,workdir_cmds,user_cmds,expose_cmds,maintainer_cmds,arg_cmds,stopsignal_cmds,add_cmds,shell_cmds,C,Python,Shell,Cmake,Dockerfile,C++,Java,D,Pascal,Go,Other,PHP,JavaScript,CSS,Elixir,Erlang,Makefile,Batchfile,PowerShell,Vue,Ada,gcc,fortran,html,assembly,Perl,m4,Lua,HCL,Lisp,Tcl,Objective-c,Ruby,Gherkin,haxe,F#,C#,Ocalm,Haskell,Haxe,Hy,TSQL,Roff,EmberScript,Smarty,clojure,R,Groovy,Prolog
keeganwitt_docker-gradle,docker build -t keeganwitt_docker-gradle keeganwitt_docker-gradlejdk8.,10,true,622,628,783,570,516,509,545,665,607,620,606.5,"76,3351164275001","5827,05",other,51,1,0,2,3,1,0,0,1,1,0,0,0,1,0,0,0,10,1,0,2,33,1,0,0,1,1,0,0,0,1,0,0,0,0,0,"12,9",0,"76,9",0,"4,5",0,0,0,0,0,0,0,0,0,0,0,"5,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lightstreamer_Docker,docker build -t Lightstreamer_Docker Lightstreamer_Docker7.1jdk11.,10,true,1075,1084,1174,1094,1075,1076,1138,1108,1096,1260,1118,"56,1052582205982","3147,8",web_component,47,1,1,2,2,0,0,0,1,1,1,1,0,0,0,0,0,10,1,0,2,33,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mongo-express_mongo-express-docker,docker build -t mongo-express_mongo-express-docker mongo-express_mongo-express-docker.,10,true,211,208,200,151,149,142,187,226,197,205,187.6,"28,0934155986772","789,24",database,31,1,0,2,3,0,1,1,1,1,0,1,0,0,0,0,0,11,1,0,7,6,0,1,3,1,1,0,1,0,0,0,0,0,"2,7","12,5","0,02",0,"0,01","27,09",0,0,0,0,"0,9",0,"55,59",0,0,0,"0,3",0,0,0,0,0,0,"0,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mono_docker,docker build -t mono_docker mono_docker6.8.0.96.,10,true,1115,1092,1315,1059,1017,1022,1005,1116,1065,1083,1088.9,"84,1016646684238","7073,09",language,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,7,6,0,1,3,1,1,0,1,0,0,0,0,0,0,0,"32,4",0,"67,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nats-io_nats-streaming-docker,docker build -t nats-io_nats-streaming-docker nats-io_nats-streaming-dockeramd64.,10,true,8,8,14,8,8,8,8,9,7,8,8.6,"1,85472369909914","3,44",application_platform,10,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,5,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"41,3",0,"58,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nginxinc_docker-nginx,docker build -t nginxinc_docker-nginxstablealpine.,10,true,58,76,76,51,51,55,51,59,55,59,59.1,"8,96046873773912","80,29",web_component,110,1,1,3,1,0,0,0,1,0,0,1,0,0,1,0,0,9,1,1,3,78,0,0,0,3,0,0,1,0,0,1,0,0,0,0,"5,6",0,"94,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nodejs_docker-node,docker build -t nodejs_docker-node nodejs_docker-node13alpine3.10.,10,true,133,133,185,157,120,122,120,154,130,178,143.2,"22,745549015137","517,36",web_component,100,1,0,2,2,0,1,1,1,0,0,0,0,0,0,0,0,8,1,1,3,78,0,0,0,3,0,0,1,0,0,1,0,0,"2,7","12,49","0,01",0,"0,04","27,09",0,0,0,0,"0,9",0,"55,57",0,0,0,"0,3",0,0,0,0,0,0,"0,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OpenLiberty_ci.docker,docker build -t OpenLiberty_ci.docker OpenLiberty_ci.docker/samples/spring-petclinic.,10,true,745,737,745,735,756,798,840,794,739,755,"764,4","33,0036361633078","1089,24",web_component,13,2,0,0,2,0,4,0,0,0,0,0,0,2,0,0,0,10,2,0,0,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,"98,5",0,"1,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orientechnologies_orientdb-docker,docker build -t orientechnologies_orientdb-docker orientechnologies_orientdb-docker3.0arm64v8openjdk-slim.,10,true,396,429,424,356,331,332,325,405,387,467,385.2,"45,6854462602698","2087,16",database,46,1,0,5,2,1,0,0,1,1,0,2,1,1,0,0,0,15,2,0,0,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
osrf_docker_images,docker build -t osrf_docker_images osrf_docker_imagesdocker.,10,true,70,81,104,66,71,69,65,72,66,79,74.3,"11,1180034178804","123,61",other,14,1,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,7,1,0,5,12,3,0,0,1,1,0,2,1,1,0,0,0,0,"10,2","7,8",0,40,0,0,0,0,0,0,0,0,0,0,0,"12,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"29,2",0,0,0,0,0
Perl_docker-perl,docker build -t Perl_docker-perl Perl_docker-perl5.030.002-main-stretch.,10,true,1039,1036,1032,1040,1038,1034,1051,1086,1051,1119,"1052,6","26,706553502839","713,24",language,29,1,1,0,1,0,1,0,1,2,0,0,0,0,0,0,0,7,1,0,1,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"92,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plone_plone.docker,docker build -t plone_plone.docker plone_plone.docker5.25.2.0python2.,10,true,1424,1674,1892,1392,1294,1263,1269,1751,1382,1571,1491.2,"208,455654756593","43453,76",application_platform,57,1,1,1,2,1,2,1,1,1,0,1,0,0,0,0,0,12,1,1,0,35,0,1,0,2,2,0,0,0,0,0,0,0,0,"66,3","12,1",0,"21,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,1",0,0,0,0
postfixadmin_docker,docker build -t postfixadmin_docker postfixadmin_dockerapache.,10,true,109,120,158,116,111,113,107,107,105,110,115.6,"14,7661775690258","218,04",application_platform,61,1,1,3,3,0,1,1,1,0,0,0,0,2,0,0,0,13,1,6,8,24,1,2,1,3,1,0,1,0,0,0,0,0,0,0,"1,5",0,"0,2",0,0,0,0,0,"0,2","86,85","5,76","0,5",0,0,0,0,0,0,0,0,0,0,0,"1,89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantisan_docker-clojure,docker build -t Quantisan_docker-clojure Quantisan_docker-clojuretargetopenjdk-15-tooldeps.,10,true,437,434,436,439,459,424,424,425,506,512,"449,6","31,2704333196712","977,84",language,20,1,0,4,2,0,0,0,1,1,0,0,0,0,0,0,0,9,1,1,3,33,0,1,1,1,0,0,0,0,2,0,0,0,"0,1",0,"1,88",0,"0,36",0,0,0,0,"96,49",0,0,0,0,0,0,"0,1",0,"1,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,06",0,0,0
rocker-org_rocker,docker build -t rocker-org_rocker rocker-org_rockerr-ubuntu.,10,true,676,732,1061,645,605,597,585,701,647,643,689.2,"131,414458869639","17269,76",language,58,1,1,3,4,0,0,0,1,0,0,0,0,0,0,0,0,10,1,4,3,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"68,27",0,"3,12",0,0,0,0,0,0,0,0,0,0,0,"0,75",0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,86",0,0
RocketChat_Docker.Official.Image,docker build -t RocketChat_Docker.Official.Image RocketChat_Docker.Official.Image3.,10,true,1133,1033,1079,920,889,963,1068,1011,1387,1153,"1063,6","135,12305502763","0,25",application_platform,97,1,0,4,4,1,0,0,1,2,1,1,0,0,0,0,0,15,1,4,3,31,0,0,0,1,0,0,0,0,0,0,0,0,"2,7","12,5","0,1",0,"0,1","27,1",0,0,0,0,"0,8",0,"55,5",0,0,0,"0,3",0,0,0,0,0,0,"0,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rust-lang_docker-rust,docker build -t rust-lang_docker-rust rust-lang_docker-rust1.42.0alpine3.10.,10,true,277,291,341,220,217,216,214,256,280,284,259.6,"40,3762306314","18258,24",language,22,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,9,65,1,0,0,2,2,1,1,0,0,0,0,0,0,"46,5",0,0,"53,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silverpeas_docker-silverpeas-prod,docker build -t Silverpeas_docker-silverpeas-prod Silverpeas_docker-silverpeas-prod.,10,true,2761,2694,2708,2722,2692,2706,2684,2689,2740,2804,2720,"36,3290517354913","1319,8",application_platform,127,1,1,9,8,1,3,0,1,1,0,1,1,1,0,0,0,28,1,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"44,6",0,"51,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SonarSource_docker-sonarqube,docker build -t SonarSource_docker-sonarqube SonarSource_docker-sonarqube8community.,10,true,1055,1045,1003,1031,1212,1276,1137,1038,1055,1030,"1088,2","85,7237423354814","7348,56",application_platform,64,2,0,2,2,0,2,1,1,1,0,1,0,4,0,0,0,16,1,1,9,52,3,3,0,1,1,0,2,1,1,0,0,0,0,0,"37,2",0,"62,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWI-Prolog_docker-swipl,docker build -t SWI-Prolog_docker-swipl SWI-Prolog_docker-swipl8.1.15stretch.,10,true,895,884,873,882,898,905,913,899,893,900,"894,2","11,160645142643","124,56",language,69,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,6,2,0,12,27,0,3,1,1,1,0,1,0,4,0,0,0,"8,82",0,"0,99",0,"13,54","24,21",0,0,0,0,"0,17",0,0,0,0,0,"0,35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"32,91"
TeamSpeak-Systems_teamspeak-linux-docker-images,docker build -t TeamSpeak-Systems_teamspeak-linux-docker-images TeamSpeak-Systems_teamspeak-linux-docker-imagesalpine.,10,true,66,64,63,66,64,70,64,66,63,63,"64,9","2,0712315177208","4,29",application_platform,37,1,0,1,3,1,1,1,1,1,0,1,0,2,0,0,0,13,1,1,1,63,0,0,0,1,0,0,0,0,0,0,0,0,0,0,75,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tianon_docker-bash,docker build -t tianon_docker-bash tianon_docker-bash5.0.,10,true,194,189,188,186,180,185,181,195,184,183,"186,5","4,80104155366312","23,05",language,122,1,0,4,1,0,1,1,1,0,0,0,0,0,0,0,0,9,1,0,1,15,1,1,1,1,1,0,3,0,2,0,0,0,0,0,"17,8",0,"82,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TimWolla_docker-adminer,docker build -t TimWolla_docker-adminer TimWolla_docker-adminer4.,10,true,349,328,327,325,326,330,330,344,365,329,"335,3","12,4743737317751","155,61",application_platform,61,1,0,3,4,0,2,1,1,1,1,1,0,0,1,0,0,16,1,0,3,37,0,2,2,5,1,1,1,0,0,1,0,0,0,0,"0,35",0,"0,3",0,0,0,0,0,0,"77,89","2,87","15,63",0,0,0,0,0,0,0,0,0,"2,97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TimWolla_docker-spiped,docker build -t TimWolla_docker-spiped TimWolla_docker-spiped1.6.,10,true,179,164,189,157,161,172,171,205,158,155,"171,1","15,2147954307641","231,49",application_platform,37,1,0,3,3,1,1,1,1,1,0,0,0,0,0,0,0,12,1,0,3,37,0,2,2,5,1,1,1,0,0,1,0,0,0,0,"58,3",0,"41,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tomitribe_docker-tomee,docker build -t tomitribe_docker-tomee tomitribe_docker-tomeeTomEE-8.0jre8webprofile.,10,true,143,146,246,123,160,107,187,198,137,253,170.0,"47,3392015141785",2241,web_component,48,1,0,4,3,0,0,0,1,1,0,1,0,0,0,0,0,11,1,0,3,21,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"1,9",0,"98,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WASdev_ci.docker,docker build -t WASdev_ci.docker WASdev_ci.dockerbeta,10,true,646,755,708,721,719,729,718,706,706,711,"711,9","25,978645076293","674,89",other,79,2,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,7,1,7,4,40,0,1,0,3,0,1,2,0,0,0,0,0,0,0,"6,2",0,"1,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"92,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOURLS_docker-yourls,docker build -t YOURLS_docker-yourls YOURLS_docker-yourlsapache.,10,true,312,309,310,364,319,316,314,317,323,321,"320,5","15,1343979067553","229,05",web_component,36,1,0,2,4,0,3,1,1,0,0,0,0,0,0,0,0,12,1,7,4,40,0,1,0,3,0,1,2,0,0,0,0,0,0,0,"0,26",0,"0,09",0,0,0,0,0,0,"92,5","4,86","2,19",0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
znc_znc-docker,docker build -t znc_znc-docker znc_znc-dockerfull.,10,true,371,394,353,313,286,284,297,365,371,366,340.0,"38,6497089251653","1493,8",application_platform,60,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,2,18,0,3,1,1,0,0,0,0,0,0,0,0,0,0,38,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
covid19-italy,docker build -t covid19-italy covid19-italy.,10,true,621,656,663,508,507,506,540,573,577,616,576.7,"57,6021700980093","3318,01",application_platform,17,1,0,0,2,0,2,0,1,1,0,1,1,0,0,0,0,9,1,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,97,"1,9",0,"1,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
