name,command,numeber_of_execution,buildable,Build_1,Build_2,Build_3,Build_4,Build_5,Build_6,Build_7,Build_8,Build_9,Build_10,average_time,σ_std_dev,variance,category,dockerfile_loc,from,label,env,run,volume,copy,entrypoint,cmd,workdir,user,expose,maintainer,arg,stopsignal,add,shell,total_instructions,from_cmds,label_cmds,env_cmds,run_cmds,volume_cmds,copy_cmds,entrypoint_cmds,cmd_cmds,workdir_cmds,user_cmds,expose_cmds,maintainer_cmds,arg_cmds,stopsignal_cmds,add_cmds,shell_cmds,C,Python,Shell,Cmake,Dockerfile,C++,Java,D,Pascal,Go,Other,PHP,JavaScript,CSS,Elixir,Erlang,Makefile,Batchfile,PowerShell,Vue,Ada,gcc,fortran,html,assembly,Perl,m4,Lua,HCL,Lisp,Tcl,Objective-c,Ruby,Gherkin,haxe,F#,C#,Ocalm,Haskell,Haxe,Hy,TSQL,Roff,EmberScript,Smarty,clojure,R,Groovy,Prolog
crate_docker-crate,docker build -t crate_docker-crate crate_docker-crate.,10,true,908,927,798,639,608,605,782,880,1549,938,863.4,"259,842336812152","67518,04",database,84,1,1,3,6,1,5,1,1,1,0,1,0,0,0,0,0,21,1,0,11,15,0,0,0,1,0,0,0,0,0,0,0,0,0,"64,7","8,1",0,"27,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
docker-flink_docker-flink,docker build -t docker-flink_docker-flink docker-flink_docker-flink1.9scala_2.12-debian.,10,true,976,1184,1079,717,538,629,563,678,888,674,792.6,"213,347697433087","45517,24",web_component,89,1,0,6,4,0,1,1,1,1,0,1,0,0,0,0,0,16,1,8,3,32,1,5,1,1,1,0,3,0,0,0,0,0,0,0,"25,9",0,"28,4",0,0,0,0,"45,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
docker-library_buildpack-deps,docker build -t docker-library_buildpack-deps docker-library_buildpack-depsbionic.,10,true,741,768,697,612,632,623,650,696,757,786,696.2,"61,3413400570936","3762,76",other,57,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,3,1,1,0,0,1,0,0,0,0,0,0,0,"29,7",0,"70,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
docker-library_drupal,docker build -t docker-library_drupal docker-library_drupal7apache.,10,true,440,470,400,356,352,170,396,179,472,481,371.6,"107,785156677531","11617,64",application_platform,74,1,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,2,47,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"17,1",0,"82,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
docker-library_golang,docker build -t docker-library_golang docker-library_golang1.13alpine3.11,10,true,753,780,760,769,800,792,816,787,867,842,"796,6","34,3458876723255","1179,64",language,64,1,0,2,2,0,1,0,0,1,2,0,0,0,0,0,1,10,1,0,2,47,0,0,0,0,1,0,0,0,0,0,0,0,"0,2",0,"0,1",0,0,0,0,0,0,"88,6",0,0,0,0,0,0,0,0,0,0,0,0,0,"5,9","5,1","0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
docker-library_memcached,docker build -t docker-library_memcached docker-library_memcacheddebian.,10,true,744,764,754,712,714,751,725,748,762,752,742.6,"17,9398996652713","321,84",database,80,1,0,2,4,0,1,1,1,0,1,1,0,0,0,0,0,12,1,0,2,61,0,1,1,1,0,1,1,0,0,0,0,0,"71,4","1,7",0,0,0,"0,7",0,"0,9",0,0,"1,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21,8","2,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
docker-library_mongo,docker build -t /repositories/docker-library_mongo/3.6,10,true,526,542,556,531,540,538,538,531,536,542,538,"7,78460018241143","60,6",database,106,1,0,6,8,1,1,1,1,0,0,1,0,2,0,0,0,22,1,0,6,72,1,1,1,1,0,0,1,0,2,0,0,0,0,0,"0,18",0,"1,6",0,0,0,0,"3,1","0,9",0,0,"93,89",0,0,0,0,0,0,0,0,0,"3,49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
docker-library_mysql,docker build -t docker-library_mysql docker-library_mysql5.7.,10,true,248,235,225,224,231,223,224,223,224,223,228,"7,68114574786861",59,database,10,1,0,3,9,1,1,1,1,0,0,1,0,0,0,0,0,18,1,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"25,9",0,"28,4",0,0,0,0,"45,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
docker-library_openjdk,docker build -t /repositories/docker-library_openjdk/15/jdk/alpine,10,true,619,607,603,613,625,710,760,627,624,754,"654,2","58,7857125499045","3455,76",language,32,1,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,8,1,0,2,61,0,1,1,1,0,1,1,0,0,0,0,0,0,0,"87,8",0,"12,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
docker-library_php,docker build -t docker-library /docker-library_php/base-images/php/7.0/fpm,10,true,294,292,295,316,296,297,294,294,294,294,"296,6","6,59090282131363","43,44",language,25,1,0,0,2,0,2,0,1,0,0,1,0,0,0,0,0,7,1,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"51,2",0,"48,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
