"docker_swarm-library-image","docker build -t docker_swarm-library-image \docker_swarm-library-image\.","1","true","19","19.0"
"dshearer_jobber-docker","docker build -t dshearer_jobber-docker \dshearer_jobber-docker\alpine3.7\.","1","true","269","269.0"
"eclipse_mosquitto","docker build -t eclipse_mosquitto \eclipse_mosquitto\docker\1.6\.","1","true","241","241.0"
"eggheads_eggdrop-docker","docker build -t eggheads_eggdrop-docker \eggheads_eggdrop-docker\1.8\.","1","false","203","203.0"
"erlang_docker-erlang-otp","docker build -t erlang_docker-erlang-otp \erlang_docker-erlang-otp\23\.","1","true","1168","1168.0"
"ExpressGateway_express-gateway","docker build -t ExpressGateway_express-gateway \ExpressGateway_express-gateway\.","1","false","2","2.0"
"fluent_fluentd-docker-image","docker build -t fluent_fluentd-docker-image \fluent_fluentd-docker-image\v1.10\debian\.","1","true","345","345.0"
"friendica_docker","docker build -t friendica_docker \friendica_docker\2019.12\apache\.","1","true","1212","1212.0"
"fsprojects_docker-fsharp","docker build -t fsprojects_docker-fsharp \fsprojects_docker-fsharp\10.7.0\netcore\.","1","true","897","897.0"
"geonetwork_docker-geonetwork","docker build -t geonetwork_docker-geonetwork \geonetwork_docker-geonetwork\3.8.3\.","1","true","606","606.0"
"groovy_docker-groovy","docker build -t groovy_docker-groovy \groovy_docker-groovy\jre8\.","1","false","148","148.0"
"hashicorp_docker-consul","docker build -t hashicorp_docker-consul \hashicorp_docker-consul\0.X\.","1","false","51","51.0"
"hashicorp_docker-vault","docker build -t hashicorp_docker-vault \hashicorp_docker-vault\0.X\.","1","true","333","333.0"
"haskell_docker-haskell","docker build -t haskell_docker-haskell \haskell_docker-haskell\8.6\.","1","false","112","112.0"
"HaxeFoundation_docker-library-haxe","docker build -t HaxeFoundation_docker-library-haxe \HaxeFoundation_docker-library-haxe\4.0\alpine3.11\.","1","false","1","1.0"
"hylang_hy","docker build -t hylang_hy \hylang_hy\.","1","true","134","134.0"
"ibmruntimes_ci.docker","docker build -t ibmruntimes_ci.docker \ibmruntimes_ci.docker\ibmjava\8\maven","1","true","516","516.0"
"idno_Known-Docker","docker build -t idno_Known-Docker \idno_Known-Docker\.","1","false","0","0.0"
"influxdata_influxdata-docker","docker build -t influxdata_influxdata-docker \influxdata_influxdata-docker\chronograf\1.8\.","1","false","88","88.0"
"jenkinsci_docker","docker build -t jenkinsci_docker \jenkinsci_docker\.","1","true","1139","1139.0"
"jessfraz_irssi","docker build -t jessfraz_irssi \jessfraz_irssi\debian\.","1","false","462","462.0"
"joomla_docker-joomla","docker build -t joomla_docker-joomla \joomla_docker-joomla\php7.4\apache\.","1","true","303","303.0"
"juanluisbaptiste_docker-brew-mageia","docker build -t juanluisbaptiste_docker-brew-mageia \juanluisbaptiste_docker-brew-mageia\dist\6\armv7hl\.","1","false","2","2.0"
"kaazing_gateway.docker","docker build -t kaazing_gateway.docker \kaazing_gateway.docker\.","1","false","16","16.0"
"keeganwitt_docker-gradle","docker build -t keeganwitt_docker-gradle \keeganwitt_docker-gradle\jdk8\.","1","true","620","620.0"
"Lightstreamer_Docker","docker build -t Lightstreamer_Docker \Lightstreamer_Docker\7.1\jdk8\.","1","false","0","0.0"
"matomo-org_docker","docker build -t matomo-org_docker \matomo-org_docker\apache\.","1","false","267","267.0"
"mongo-express_mongo-express-docker","docker build -t mongo-express_mongo-express-docker \mongo-express_mongo-express-docker\.","1","true","205","205.0"
"mono_docker","docker build -t mono_docker \mono_docker\6.8.0.96\.","1","true","1083","1083.0"
"nats-io_nats-streaming-docker","docker build -t nats-io_nats-streaming-docker \nats-io_nats-streaming-docker\amd64\.","1","true","8","8.0"
"neo4j_docker-neo4j","docker build -t neo4j_docker-neo4j \neo4j_docker-neo4j\docker-image-src\4.0\.","1","false","434","434.0"
"nextcloud_docker","docker build -t nextcloud_docker \nextcloud_docker\18.0\apache\.","1","false","916","916.0"
"nginxinc_docker-nginx","docker build -t \nginxinc_docker-nginx\stable\alpine\.","1","true","59","59.0"
"nodejs_docker-node","docker build -t nodejs_docker-node \nodejs_docker-node\13\alpine3.10\.","1","true","178","178.0"
"odoo_docker","docker build -t odoo_docker \odoo_docker\13.0\.","1","false","770","770.0"
