name,repositories,Dockerfile ,Shell,Lua,Roff,Makefile,JavaScript,PowerShell,Java,HTML,Python,Ruby,C,Other,C++,Cmake,Tcl
docker-library/wordpress,https://github.com/docker-library/wordpress.git,"28,7","71,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
docker-solr/docker-solr,https://github.com/docker-solr/docker-solr.git,"18,6",81,0,0,0,0,0,0,0,0,0,0,"0,4",0,0,0
docker/distribution-library-image,https://github.com/docker/distribution-library-image.git,"41,2","58,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0
docker/swarm-library-image,https://github.com/docker/swarm-library-image.git,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dshearer/jobber-docker,https://github.com/dshearer/jobber-docker.git,,,,,,,,,,,,,,,,
eclipse/mosquitto,https://github.com/eclipse/mosquitto.git,0,0,0,0,"2,5",0,0,0,"0,7","25,1",0,"66,3","1,7","3,1","0,6",0
eggheads/eggdrop-docker,https://github.com/eggheads/eggdrop-docker.git,19,"62,9",0,0,0,0,0,0,0,0,0,0,0,0,0,"18,1"
elastic/elasticsearch,https://github.com/elastic/elasticsearch.git,,,,,,,,,,,,,,,,
erlang/docker-erlang-otp,https://github.com/erlang/docker-erlang-otp.git,,,,,,,,,,,,,,,,
ExpressGateway/express-gateway,https://github.com/ExpressGateway/express-gateway.git,,,,,,,,,,,,,,,,
fluent/fluentd-docker-image,https://github.com/fluent/fluentd-docker-image.git,,,,,,,,,,,,,,,,
friendica/docker,https://github.com/friendica/docker.git,,,,,,,,,,,,,,,,
fsprojects/docker-fsharp,https://github.com/fsprojects/docker-fsharp.git,,,,,,,,,,,,,,,,
geonetwork/docker-geonetwork,https://github.com/geonetwork/docker-geonetwork.git,,,,,,,,,,,,,,,,
groovy/docker-groovy,https://github.com/groovy/docker-groovy.git,,,,,,,,,,,,,,,,
hashicorp/docker-consul,https://github.com/hashicorp/docker-consul.git,,,,,,,,,,,,,,,,
hashicorp/docker-vault,https://github.com/hashicorp/docker-vault.git,,,,,,,,,,,,,,,,
haskell/docker-haskell,https://github.com/haskell/docker-haskell.git,,,,,,,,,,,,,,,,
HaxeFoundation/docker-library-haxe,https://github.com/HaxeFoundation/docker-library-haxe.git,,,,,,,,,,,,,,,,
hylang/hy,https://github.com/hylang/hy.git,,,,,,,,,,,,,,,,
ibmruntimes/ci.docker,https://github.com/ibmruntimes/ci.docker.git,,,,,,,,,,,,,,,,
idno/Known-Docker,https://github.com/idno/Known-Docker.git,,,,,,,,,,,,,,,,
influxdata/influxdata-docker,https://github.com/influxdata/influxdata-docker.git,,,,,,,,,,,,,,,,
influxdata/influxdata-docker,https://github.com/influxdata/influxdata-docker.git,,,,,,,,,,,,,,,,
jenkinsci/docker,https://github.com/jenkinsci/docker.git,,,,,,,,,,,,,,,,
jessfraz/irssi,https://github.com/jessfraz/irssi.git,,,,,,,,,,,,,,,,
joomla/docker-joomla,https://github.com/joomla/docker-joomla.git,,,,,,,,,,,,,,,,
juanluisbaptiste/docker-brew-mageia,https://github.com/juanluisbaptiste/docker-brew-mageia.git,,,,,,,,,,,,,,,,
kaazing/gateway.docker,https://github.com/kaazing/gateway.docker.git,,,,,,,,,,,,,,,,
keeganwitt/docker-gradle,https://github.com/keeganwitt/docker-gradle.git,,,,,,,,,,,,,,,,
Kong/kong,https://github.com/Kong/kong.git,,,,,,,,,,,,,,,,
Lightstreamer/Docker,https://github.com/Lightstreamer/Docker.git,,,,,,,,,,,,,,,,
matomo-org/docker,https://github.com/matomo-org/docker.git,,,,,,,,,,,,,,,,
matomo-org/docker,https://github.com/matomo-org/docker.git,,,,,,,,,,,,,,,,
mongo-express/mongo-express-docker,https://github.com/mongo-express/mongo-express-docker.git,,,,,,,,,,,,,,,,
mono/docker,https://github.com/mono/docker.git,,,,,,,,,,,,,,,,
nats-io/nats-streaming-docker,https://github.com/nats-io/nats-streaming-docker.git,,,,,,,,,,,,,,,,
neo4j/docker-neo4j,https://github.com/neo4j/docker-neo4j.git,,,,,,,,,,,,,,,,
nextcloud/docker,https://github.com/nextcloud/docker.git,,,,,,,,,,,,,,,,
nginxinc/docker-nginx,https://github.com/nginxinc/docker-nginx.git,,,,,,,,,,,,,,,,
nodejs/docker-node,https://github.com/nodejs/docker-node.git,,,,,,,,,,,,,,,,
odoo/docker,https://github.com/odoo/docker.git,,,,,,,,,,,,,,,,
OpenLiberty/ci.docker,https://github.com/OpenLiberty/ci.docker.git,,,,,,,,,,,,,,,,
orientechnologies/orientdb-docker,https://github.com/orientechnologies/orientdb-docker.git,,,,,,,,,,,,,,,,
osrf/docker_images,https://github.com/osrf/docker_images.git,,,,,,,,,,,,,,,,
Perl/docker-perl,https://github.com/Perl/docker-perl.git,,,,,,,,,,,,,,,,
plone/plone.docker,https://github.com/plone/plone.docker.git,,,,,,,,,,,,,,,,
postfixadmin/docker,https://github.com/postfixadmin/docker.git,,,,,,,,,,,,,,,,
Quantisan/docker-clojure,https://github.com/Quantisan/docker-clojure.git,,,,,,,,,,,,,,,,
Raku/docker,https://github.com/Raku/docker.git,,,,,,,,,,,,,,,,
rapidoid/docker-rapidoid,https://github.com/rapidoid/docker-rapidoid.git,,,,,,,,,,,,,,,,
