name,repositories,Dockerfile ,Shell,Lua,Roff,Makefile,JavaScript,PowerShell,Java,HTML,Python,Ruby,C,Other,C++,Cmake,Tcl
rethinkdb/rethinkdb-dockerfiles,https://github.com/rethinkdb/rethinkdb-dockerfiles.git,,,,,,,,,,,,,,,,
rocker-org/rocker,https://github.com/rocker-org/rocker.git,,,,,,,,,,,,,,,,
RocketChat/Docker.Official.Image,https://github.com/RocketChat/Docker.Official.Image.git,,,,,,,,,,,,,,,,
rust-lang/docker-rust,https://github.com/rust-lang/docker-rust.git,,,,,,,,,,,,,,,,
SAP/SapMachine,https://github.com/SAP/SapMachine.git,,,,,,,,,,,,,,,,
Silverpeas/docker-silverpeas-prod,https://github.com/Silverpeas/docker-silverpeas-prod.git,,,,,,,,,,,,,,,,
SonarSource/docker-sonarqube,https://github.com/SonarSource/docker-sonarqube.git,,,,,,,,,,,,,,,,
SWI-Prolog/docker-swipl,https://github.com/SWI-Prolog/docker-swipl.git,,,,,,,,,,,,,,,,
TeamSpeak-Systems/teamspeak-linux-docker-images,https://github.com/TeamSpeak-Systems/teamspeak-linux-docker-images.git,,,,,,,,,,,,,,,,
tianon/docker-bash,https://github.com/tianon/docker-bash.git,,,,,,,,,,,,,,,,
TimWolla/docker-adminer,https://github.com/TimWolla/docker-adminer.git,,,,,,,,,,,,,,,,
TimWolla/docker-spiped,https://github.com/TimWolla/docker-spiped.git,,,,,,,,,,,,,,,,
tomitribe/docker-tomee,https://github.com/tomitribe/docker-tomee.git,,,,,,,,,,,,,,,,
varnish/docker-varnish,https://github.com/varnish/docker-varnish.git,,,,,,,,,,,,,,,,
WASdev/ci.docker,https://github.com/WASdev/ci.docker.git,,,,,,,,,,,,,,,,
YOURLS/docker-yourls,https://github.com/YOURLS/docker-yourls.git,,,,,,,,,,,,,,,,
znc/znc-docker,https://github.com/znc/znc-docker.git,,,,,,,,,,,,,,,,
tommasobonomo/covid19-italy,https://github.com/tommasobonomo/covid19-italy.git,,,,,,,,,,,,,,,,
