name,command,numeber_of_execution,buildable,Build_1,Build_2,Build_3,Build_4,Build_5,Build_6,Build_7,Build_8,Build_9,Build_10,average_time,σ_std_dev,variance,category,dockerfile_loc,from,label,env,run,volume,copy,entrypoint,cmd,workdir,user,expose,maintainer,arg,stopsignal,add,shell,total_instructions,from_cmds,label_cmds,env_cmds,run_cmds,volume_cmds,copy_cmds,entrypoint_cmds,cmd_cmds,workdir_cmds,user_cmds,expose_cmds,maintainer_cmds,arg_cmds,stopsignal_cmds,add_cmds,shell_cmds
containous_traefik-library-image,docker build -t containous_traefik-library-image traefik-library-imagealpine.,10,true,106,116,120,74,74,76,78,82,86,82,89.4,"16,8059513268366","282,44",web_component,26,1,1,0,2,0,1,1,1,0,0,1,0,0,0,0,0,8,1,6,0,14,0,1,1,1,0,0,1,0,0,0,0,0
convertigo_docker,docker build -t convertigo_docker convertigo_docker7.47.4.3.,10,false,59,69,81,57,57,58,57,60,59,61,61.8,"7,23602100605022","52,36",application_platform,121,1,0,9,6,1,2,1,1,2,0,1,1,0,0,0,0,25,,,,,,,,,,,,,,,,
cpuguy83_docker-jruby,docker build -t cpuguy83_docker-jruby cpuguy83_docker-jruby9000jdk.,10,true,441,520,510,351,343,346,441,404,552,513,442.1,"75,2282526714532","5659,29",language,35,1,0,6,5,0,0,0,1,0,0,0,0,0,0,0,0,13,1,0,0,4,0,2,0,8,1,0,1,1,0,0,0,0
crate_docker-crate,docker build -t crate_docker-crate crate_docker-crate.,10,true,908,927,798,639,608,605,782,880,1549,938,863.4,"259,842336812152","67518,04",database,84,1,1,3,6,1,5,1,1,1,0,1,0,0,0,0,0,21,1,0,11,15,0,0,0,1,0,0,0,0,0,0,0,0
docker-flink_docker-flink,docker build -t docker-flink_docker-flink docker-flink_docker-flink1.9scala_2.12-debian.,10,true,976,1184,1079,717,538,629,563,678,888,674,792.6,"213,347697433087","45517,24",web_component,89,1,0,6,4,0,1,1,1,1,0,1,0,0,0,0,0,16,1,8,3,32,1,5,1,1,1,0,3,0,0,0,0,0
docker-library_buildpack-deps,docker build -t docker-library_buildpack-deps docker-library_buildpack-depsbionic.,10,true,741,768,697,612,632,623,650,696,757,786,696.2,"61,3413400570936","3762,76",other,57,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,3,1,1,0,0,1,0,0,0,0,0
docker-library_busybox,docker build -t docker-library_busybox busyboxglibc.,10,false,0,0,1,0,1,0,0,0,0,0,0.2,"0,4","0,16",linux_distro,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,1,0,1,0,1,3,1,1,0,0,1,0,0,0,0,0
docker-library_cassandra,docker build -t docker-library_cassandra docker-library_cassandra3.0.,10,false,174,294,251,146,147,151,321,169,297,300,225.0,70,4900,database,153,1,0,7,5,1,1,1,1,0,0,1,0,0,0,0,0,18,1,0,9,42,0,1,1,1,1,0,2,0,0,0,0,0
docker-library_celery,docker build -t docker-library_celery docker-library_celery3.1.,10,true,139,184,105,104,103,108,177,117,123,117,127.7,"28,3797462990774","805,41",web_component,21,1,0,2,4,0,0,0,1,1,1,0,0,0,0,0,0,10,1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
docker-library_django,docker build -t docker-library_django docker-library_django3.4.,10,false,59,164,40,48,47,47,193,50,162,159,96.9,"60,0640491475558","3607,69",web_component,26,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,
docker-library_drupal,docker build -t docker-library_drupal docker-library_drupal7apache.,10,true,440,470,400,356,352,170,396,179,472,481,371.6,"107,785156677531","11617,64",application_platform,74,1,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,
docker-library_gcc,docker build -t docker-library_gcc docker-library_gcc8.,10,false,25,725,14,26,25,26,363,26,458,451,213.9,"248,294361595265","61650,09",language,146,1,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,2,7,0,0,0,2,1,1,0,0,0,0,0,0
docker-library_ghost,docker build -t docker-library_ghost docker-library_ghost3debian.,10,false,130,173,151,99,92,102,145,102,173,166,133.3,"30,8611406140473","952,41",application_platform,72,1,0,6,3,1,1,1,1,1,0,1,0,0,0,0,0,16,,,,,,,,,,,,,,,,
docker-library_golang,docker build -t docker-library_golang docker-library_golang1.13alpine3.11,10,true,753,780,760,769,800,792,816,787,867,842,"796,6","34,3458876723255","1179,64",language,64,1,0,2,2,0,1,0,0,1,2,0,0,0,0,0,1,10,1,0,2,47,0,0,0,0,1,0,0,0,0,0,0,0
docker-library_haproxy,docker build -t docker-library_haproxy docker-library_haproxy1.9.,10,true,295,330,230,216,211,222,224,237,256,240,246.1,"36,2144998584821","1311,49",web_component,69,1,0,3,1,0,1,1,1,0,0,0,0,0,1,0,0,9,,,,,,,,,,,,,,,,
docker-library_hello-world,docker build -t docker-library_hello-world docker-library_hello-worldi386hello-world.,10,true,3,3,3,3,4,3,3,3,3,3,3.1,"0,3","0,09",application_platform,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,
docker-library_httpd,docker build -t docker-library_httpd docker-library_httpd2.4alpine,10,false,444,408,366,328,329,363,355,420,408,385,380.6,"37,0140513859264","1370,04",web_component,159,1,0,5,3,0,1,0,1,1,0,1,0,0,1,0,0,14,1,0,3,36,0,0,0,0,1,0,0,0,0,0,0,0
docker-library_julia,docker build -t docker-library_julia docker-library_julia1.4buster,10,false,365,370,370,368,379,370,365,368,362,364,"368,1","4,50444225182208","20,29",language,73,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,6,1,0,3,43,0,1,1,3,0,0,0,0,0,1,0,0
docker-library_mariadb,docker build -t docker-library_mariadb docker-library_mariadb10.3.,10,false,179,174,151,148,144,153,151,168,180,172,162.0,"13,1757352736005","173,6",database,132,1,0,4,9,1,1,1,1,0,0,1,0,0,0,0,0,19,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
docker-library_memcached,docker build -t docker-library_memcached docker-library_memcacheddebian.,10,true,744,764,754,712,714,751,725,748,762,752,742.6,"17,9398996652713","321,84",database,80,1,0,2,4,0,1,1,1,0,1,1,0,0,0,0,0,12,,,,,,,,,,,,,,,,
docker-library_mongo,docker build -t /repositories/docker-library_mongo/3.6,10,true,526,542,556,531,540,538,538,531,536,542,538,"7,78460018241143","60,6",database,106,1,0,6,8,1,1,1,1,0,0,1,0,2,0,0,0,22,,,,,,,,,,,,,,,,
docker-library_mysql,docker build -t docker-library_mysql docker-library_mysql5.7.,10,true,248,235,225,224,231,223,224,223,224,223,228,"7,68114574786861",59,database,10,1,0,3,9,1,1,1,1,0,0,1,0,0,0,0,0,18,,,,,,,,,,,,,,,,
docker-library_openjdk,docker build -t /repositories/docker-library_openjdk/15/jdk/alpine,10,true,619,607,603,613,625,710,760,627,624,754,"654,2","58,7857125499045","3455,76",language,32,1,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,8,1,0,2,61,0,1,1,1,0,1,1,0,0,0,0,0
docker-library_owncloud,docker build -t docker-library_owncloud docker-library_owncloud9.1apache.,10,false,432,742,695,402,402,454,626,431,727,747,565.8,"145,744845534928","21241,56",application_platform,85,1,0,2,7,1,1,1,1,0,0,0,0,0,0,0,0,14,,,,,,,,,,,,,,,,
docker-library_php,docker build -t docker-library /docker-library_php/base-images/php/7.0/fpm,10,true,294,292,295,316,296,297,294,294,294,294,"296,6","6,59090282131363","43,44",language,25,1,0,0,2,0,2,0,1,0,0,1,0,0,0,0,0,7,1,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0
docker-library_postgres,docker build -t repositories/docker-library_postgres/12/alpine,10,true,963,922,918,920,926,960,933,908,931,931,"931,2","16,7140659326209","279,36",database,151,1,0,6,12,1,1,1,1,0,0,1,0,0,0,0,0,24,1,0,5,10,0,0,0,1,0,0,0,0,0,0,0,0
docker-library_pypy,docker build -t docker-library_pypy docker-library_pypy3.6.,10,true,214,1160,304,203,198,213,201,215,228,221,315.7,"282,909897317149","80038,01",language,85,1,0,6,3,0,0,0,1,0,0,0,0,0,0,0,0,11,,,,,,,,,,,,,,,,
docker-library_python,docker build -t docker-library_python docker-library_python3.8alpine3.11.,10,false,93,121,133,79,80,80,83,92,102,93,95.6,"17,4137876408322","303,24",language,136,1,0,7,4,0,0,0,1,0,0,0,0,0,0,0,0,13,1,0,0,5,0,2,0,1,0,0,1,0,0,0,0,0
docker-library_rabbitmq,docker build -t docker-library_rabbitmq docker-library_rabbitmq3.8ubuntu.,10,false,309,333,427,263,257,269,272,299,320,310,305.9,"47,3443766460179","2241,49",application_platform,268,1,0,12,5,1,1,1,1,0,0,1,0,1,0,0,0,24,,,,,,,,,,,,,,,,
docker-library_rails,docker build -t docker-library_rails /repositories/docker-library_rails/onbuild,10,true,1336,1496,1387,1411,1446,1441,1374,1435,1303,1263,"1389,2","68,0526266943459","4631,16",web_component,19,1,0,1,5,0,3,0,1,0,0,1,0,0,0,0,0,12,1,0,6,43,0,0,0,1,0,0,0,0,0,0,0,0
docker-library_redis,docker build -t docker-library_redis /repositories/docker-library_redis/6.0-rc/alpine,10,true,206,204,203,204,203,204,204,205,213,244,209,"11,991663771137","143,8",redis,81,1,0,3,4,1,1,1,1,1,0,1,0,0,0,0,0,14,,,,,,,,,,,,,,,,
docker-library_redmine,docker build -t docker-library_redmine docker-library_redmine4.1.,10,false,394,477,580,364,314,330,378,361,472,470,414.0,"78,7946698704932","6208,6",web_component,144,1,0,4,6,1,1,1,1,1,0,1,0,0,0,0,0,17,,,,,,,,,,,,,,,,
docker-library_ruby,docker build -t docker-library_ruby docker-library_ruby2.7alpine3.11.,10,true,537,524,739,440,441,536,443,504,500,489,515.3,"82,7575374210712","6848,81",language,128,1,0,6,4,0,0,0,1,0,0,0,0,0,0,0,0,12,1,0,0,9,0,3,0,4,1,0,1,0,0,0,0,0
docker-library_tomcat,docker build -t docker-library_tomcat docker-library_tomcat9.0jdk8corretto.,10,true,822,922,603,442,413,457,419,1337,484,1199,709.8,"325,727739070531","106098,56",web_component,146,1,0,8,3,0,0,0,1,1,0,1,0,0,0,0,0,15,1,0,3,44,1,1,1,1,1,0,1,0,0,0,0,0
docker-library_wordpress,docker build -t docker-library_wordpress docker-library_wordpressphp7.3apache.,10,true,673,1130,1130,632,631,697,694,693,752,814,784.6,"180,037884902039","32413,64",application_platform,111,1,0,2,6,1,1,1,1,0,0,0,0,0,0,0,0,13,,,,,,,,,,,,,,,,
docker-solr_docker-solr,docker build -t docker-solr_docker-solr docker-solr_docker-solr8.1.,10,true,756,875,860,632,636,637,654,765,756,773,734.4,"86,6154720589803","7502,24",application_platform,140,1,2,5,4,1,1,1,1,1,1,1,0,5,0,0,0,24,1,0,7,78,0,0,0,1,0,0,0,0,0,0,0,0
docker_distribution-library-image,docker build -t docker_distribution-library-image distribution-library-imageamd64.,10,true,22,36,34,23,23,23,24,23,22,24,25.4,"4,86209831245729","23,64",other,17,1,0,0,1,1,3,1,1,0,0,1,0,0,0,0,0,9,1,0,8,97,0,0,0,2,1,0,1,0,0,0,0,0
docker_swarm-library-image,docker build -t docker_swarm-library-image docker_swarm-library-image.,10,true,18,20,27,19,19,19,17,16,19,19,19.3,"2,79463772249642","7,81",other,13,1,0,1,0,1,3,1,1,0,0,1,0,0,0,0,0,9,1,0,2,70,1,1,1,1,0,0,0,0,0,0,0,0
dshearer_jobber-docker,docker build -t dshearer_jobber-docker dshearer_jobber-dockeralpine3.7.,10,true,273,306,271,241,233,238,234,270,267,269,260.2,"22,1033934046336","488,56",other,57,2,0,4,5,0,3,1,1,1,1,0,1,0,0,0,0,19,1,2,22,100,1,1,1,1,1,1,1,0,0,0,0,0
eclipse_mosquitto,docker build -t eclipse_mosquitto eclipse_mosquittodocker1.6.,10,true,234,277,324,210,202,205,204,236,234,241,236.7,"36,4281484569282","1327,01",web_component,92,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,9,2,0,4,17,0,3,1,1,1,1,0,1,0,0,0,0
eggheads_eggdrop-docker,docker build -t eggheads_eggdrop-docker eggheads_eggdrop-docker1.8.,10,false,200,235,258,170,170,172,170,208,201,203,198.7,"28,5133302158832","813,01",other,43,1,0,6,4,0,2,1,1,1,0,1,1,0,0,0,0,18,1,2,4,79,2,1,1,3,0,0,1,0,0,0,0,0
erlang_docker-erlang-otp,docker build -t erlang_docker-erlang-otp erlang_docker-erlang-otp23.,10,true,1163,1230,1872,1144,1160,1124,1144,1172,1147,1168,1232.4,"214,853531504604","46162,04",language,68,1,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,
ExpressGateway_express-gateway,docker build -t ExpressGateway_express-gateway ExpressGateway_express-gateway.,10,false,2,2,2,3,2,3,3,2,2,2,2.3,"0,458257569495584","0,21",other,21,1,1,4,1,1,2,0,1,0,0,1,0,1,0,0,0,13,1,1,3,54,0,0,0,1,0,0,0,0,0,0,0,0
fluent_fluentd-docker-image,docker build -t fluent_fluentd-docker-image fluent_fluentd-docker-imagev1.10debian.,10,true,388,377,503,326,323,556,325,347,338,345,382.8,"77,0503731334249","5936,76",other,64,1,2,3,2,0,2,1,1,0,1,1,0,0,0,0,0,14,,,,,,,,,,,,,,,,
friendica_docker,docker build -t friendica_docker friendica_docker2019.12apache.,10,true,769,756,763,778,835,766,769,770,773,779,825,"20,7499397589487","430,56",application_platform,128,1,0,3,6,1,2,1,1,0,0,0,0,0,0,0,0,15,1,2,3,42,0,2,3,1,0,1,1,0,0,0,0,0
fsprojects_docker-fsharp,docker build -t fsprojects_docker-fsharp fsprojects_docker-fsharp10.7.0netcore.,10,true,799,1217,919,833,820,790,823,854,790,897,874.2,"121,465056703564","14753,76",language,41,1,1,2,3,0,0,0,1,1,0,0,0,0,0,0,0,9,1,0,3,82,1,2,1,1,0,0,0,0,0,0,0,0
geonetwork_docker-geonetwork,docker build -t geonetwork_docker-geonetwork geonetwork_docker-geonetwork3.8.3.,10,true,873,1181,872,435,445,480,509,523,513,606,643.7,"235,465942335617","55444,21",application_platform,24,1,0,5,1,0,1,1,1,1,0,0,0,0,0,0,0,11,1,1,4,33,0,0,0,2,1,0,0,0,0,0,0,0
groovy_docker-groovy,docker build -t groovy_docker-groovy groovy_docker-groovyjre8.,10,false,191,197,221,136,137,190,142,192,189,148,174.3,"28,8861558536265","834,41",language,83,1,0,2,4,1,0,0,1,1,1,0,0,0,0,0,0,11,1,0,5,7,0,2,1,2,1,0,0,0,0,0,0,0
hashicorp_docker-consul,docker build -t hashicorp_docker-consul hashicorp_docker-consul0.X.,10,false,49,60,51,47,46,46,47,49,49,51,49.5,"3,90512483795333","15,25",other,79,1,0,2,4,1,1,1,1,0,0,3,1,0,0,0,0,15,,,,,,,,,,,,,,,,
hashicorp_docker-vault,docker build -t hashicorp_docker-vault hashicorp_docker-vault0.X.,10,true,171,179,230,211,277,147,151,185,170,333,205.4,"56,5370674867383","3196,44",other,80,1,0,0,3,2,1,1,1,0,0,1,0,1,0,0,0,11,,,,,,,,,,,,,,,,
haskell_docker-haskell,docker build -t haskell_docker-haskell haskell_docker-haskell8.6.,10,false,94,97,129,92,88,88,89,95,94,112,97.8,"12,3109707172099","151,56",language,41,1,0,1,3,0,0,0,1,0,0,0,0,3,0,0,0,9,1,0,0,44,2,2,1,2,0,0,1,0,1,0,0,0
HaxeFoundation_docker-library-haxe,docker build -t HaxeFoundation_docker-library-haxe HaxeFoundation_docker-library-haxe4.0alpine3.11.,10,true,1140,1186,1244,1280,1231,1224,1211,1201,1191,1190,"1209,8","36,071595473447","1301,16",language,94,1,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,8,1,0,1,30,0,0,0,1,0,0,0,0,3,0,0,0
hylang_hy,docker build -t hylang_hy hylang_hy.,10,true,106,527,97,93,91,92,95,107,107,134,144.9,"127,940181334872","16368,69",language,10,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,5,1,3,1,62,0,0,0,1,0,0,0,0,0,0,0,0
ibmruntimes_ci.docker,docker build -t ibmruntimes_ci.docker ibmruntimes_ci.dockeribmjava8maven,10,true,401,412,338,326,326,331,339,438,402,516,382.9,"59,5003361335043","3540,29",language,36,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,6,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
idno_Known-Docker,docker build -t idno_Known-Docker idno_Known-Docker.,10,false,582,465,456,437,404,409,402,414,415,582,"456,6","65,9275359770104","4346,44",application_platform,68,1,1,1,4,1,1,1,1,0,0,0,0,0,0,0,0,11,1,0,1,5,0,0,0,1,0,0,0,1,1,0,0,0
influxdata_influxdata-docker,docker build -t influxdata_influxdata-docker influxdata_influxdata-dockerchronograf1.8.,10,false,87,99,109,81,80,81,85,88,88,88,88.6,"8,5463442476886","73,04",database,42,1,0,1,2,1,3,1,1,0,0,1,0,0,0,0,0,11,,,,,,,,,,,,,,,,
jenkinsci_docker,docker build -t jenkinsci_docker jenkinsci_docker.,10,true,944,996,1094,799,766,767,847,917,904,1139,917.3,"123,238021730309","15187,61",application_platform,84,1,0,8,6,1,6,1,0,0,1,2,0,12,0,0,0,38,,,,,,,,,,,,,,,,
jessfraz_irssi,docker build -t jessfraz_irssi jessfraz_irssidebian.,10,false,433,451,669,419,385,395,412,449,416,462,449.1,"76,940821414903","5919,89",web_component,93,1,0,3,3,0,0,0,1,1,1,0,0,0,0,0,0,10,1,0,8,25,1,6,3,0,0,1,2,0,12,0,0,0
joomla_docker-joomla,docker build -t joomla_docker-joomla joomla_docker-joomlaphp7.4apache.,10,true,248,307,353,254,242,241,314,248,290,303,280.0,"36,7858668512786","1353,2",application_platform,85,1,1,3,3,1,2,1,1,0,0,0,0,0,0,0,0,13,,,,,,,,,,,,,,,,
juanluisbaptiste_docker-brew-mageia,docker build -t juanluisbaptiste_docker-brew-mageia juanluisbaptiste_docker-brew-mageiadist6armv7hl.,10,true,1119,1300,1053,1114,1616,1078,961,981,919,953,"1109,4","199,116649228536","39647,44",linux_distro,17,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,4,1,1,3,51,1,2,1,1,0,0,0,0,0,0,0,0
kaazing_gateway.docker,docker build -t kaazing_gateway.docker kaazing_gateway.docker.,10,false,17,16,20,16,17,17,16,15,15,16,16.5,"1,36014705087354","1,85",other,39,1,0,4,2,0,0,0,1,1,0,1,1,0,0,0,0,11,1,0,1,11,1,0,0,1,0,1,0,1,0,0,0,0
keeganwitt_docker-gradle,docker build -t keeganwitt_docker-gradle keeganwitt_docker-gradlejdk8.,10,true,622,628,783,570,516,509,545,665,607,620,606.5,"76,3351164275001","5827,05",other,51,1,0,2,3,1,0,0,1,1,0,0,0,1,0,0,0,10,,,,,,,,,,,,,,,,
Lightstreamer_Docker,docker build -t Lightstreamer_Docker Lightstreamer_Docker7.1jdk11.,10,true,1075,1084,1174,1094,1075,1076,1138,1108,1096,1260,1118,"56,1052582205982","3147,8",web_component,47,1,1,2,2,0,0,0,1,1,1,1,0,0,0,0,0,10,1,0,2,33,1,0,0,1,1,0,0,0,1,0,0,0
matomo-org_docker,docker build -t matomo-org_docker matomo-org_dockerapache.,10,false,265,267,346,254,250,251,251,275,258,267,268.4,"27,0931725717015","734,04",other,110,1,1,1,3,1,2,1,1,0,0,0,0,0,0,0,0,11,1,1,2,19,0,0,0,2,1,1,1,0,0,0,0,0
mongo-express_mongo-express-docker,docker build -t mongo-express_mongo-express-docker mongo-express_mongo-express-docker.,10,true,211,208,200,151,149,142,187,226,197,205,187.6,"28,0934155986772","789,24",database,31,1,0,2,3,0,1,1,1,1,0,1,0,0,0,0,0,11,,,,,,,,,,,,,,,,
mono_docker,docker build -t mono_docker mono_docker6.8.0.96.,10,true,1115,1092,1315,1059,1017,1022,1005,1116,1065,1083,1088.9,"84,1016646684238","7073,09",language,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,7,6,0,1,3,1,1,0,1,0,0,0,0,0
nats-io_nats-streaming-docker,docker build -t nats-io_nats-streaming-docker nats-io_nats-streaming-dockeramd64.,10,true,8,8,14,8,8,8,8,9,7,8,8.6,"1,85472369909914","3,44",application_platform,10,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,5,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
neo4j_docker-neo4j,docker build -t neo4j_docker-neo4j neo4j_docker-neo4jdocker-image-src4.0.,10,false,432,455,353,352,348,353,351,440,435,434,395.3,"44,3126392804581","1963,61",database,51,1,0,2,2,1,2,1,1,1,0,1,0,1,0,0,0,13,1,0,0,0,0,2,1,2,0,0,2,0,0,0,0,0
nextcloud_docker,docker build -t nextcloud_docker nextcloud_docker18.0apache.,10,false,961,1098,1449,895,886,846,815,985,913,916,976.4,"174,346895584636","30396,84",application_platform,151,1,0,1,5,1,2,1,1,0,0,0,0,0,0,0,0,12,,,,,,,,,,,,,,,,
nginxinc_docker-nginx,docker build -t nginxinc_docker-nginxstablealpine.,10,true,58,76,76,51,51,55,51,59,55,59,59.1,"8,96046873773912","80,29",web_component,110,1,1,3,1,0,0,0,1,0,0,1,0,0,1,0,0,9,,,,,,,,,,,,,,,,
nodejs_docker-node,docker build -t nodejs_docker-node nodejs_docker-node13alpine3.10.,10,true,133,133,185,157,120,122,120,154,130,178,143.2,"22,745549015137","517,36",web_component,100,1,0,2,2,0,1,1,1,0,0,0,0,0,0,0,0,8,1,1,3,78,0,0,0,3,0,0,1,0,0,1,0,0
odoo_docker,docker build -t odoo_docker odoo_docker13.0.,10,false,669,776,1062,687,611,592,559,725,632,770,708.3,"136,702633478657","18687,61",application_platform,88,1,0,3,5,1,3,1,1,0,1,1,1,2,0,0,0,20,1,0,2,71,0,1,1,1,0,0,0,0,0,0,0,0
OpenLiberty_ci.docker,docker build -t OpenLiberty_ci.docker OpenLiberty_ci.docker/samples/spring-petclinic.,10,true,745,737,745,735,756,798,840,794,739,755,"764,4","33,0036361633078","1089,24",web_component,13,2,0,0,2,0,4,0,0,0,0,0,0,2,0,0,0,10,,,,,,,,,,,,,,,,
orientechnologies_orientdb-docker,docker build -t orientechnologies_orientdb-docker orientechnologies_orientdb-docker3.0arm64v8openjdk-slim.,10,true,396,429,424,356,331,332,325,405,387,467,385.2,"45,6854462602698","2087,16",database,46,1,0,5,2,1,0,0,1,1,0,2,1,1,0,0,0,15,2,0,0,4,0,3,0,0,0,0,0,0,1,0,0,0
osrf_docker_images,docker build -t osrf_docker_images osrf_docker_imagesdocker.,10,true,70,81,104,66,71,69,65,72,66,79,74.3,"11,1180034178804","123,61",other,14,1,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,7,1,0,5,12,3,0,0,1,1,0,2,1,1,0,0,0
Perl_docker-perl,docker build -t Perl_docker-perl Perl_docker-perl5.030.002-main-stretch.,10,true,1039,1036,1032,1040,1038,1034,1051,1086,1051,1119,"1052,6","26,706553502839","713,24",language,29,1,1,0,1,0,1,0,1,2,0,0,0,0,0,0,0,7,1,0,1,4,0,1,0,0,2,0,0,0,0,0,0,0
plone_plone.docker,docker build -t plone_plone.docker plone_plone.docker5.25.2.0python2.,10,true,1424,1674,1892,1392,1294,1263,1269,1751,1382,1571,1491.2,"208,455654756593","43453,76",application_platform,57,1,1,1,2,1,2,1,1,1,0,1,0,0,0,0,0,12,1,1,0,35,0,1,0,2,2,0,0,0,0,0,0,0
