name,FROM,LABEL,ENV,RUN,VOLUME,COPY,ENTRYPOINT,CMD,WORKDIR,USER,EXPOSE,MAINTAINER,ARG,STOPSIGNAL,ADD,SHELL,numberOfFeatures
mongo-express_mongo-express-docker.json,1,0,7,6,0,1,3,1,1,0,1,0,0,0,0,0,
mono_docker.json,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
nats-io_nats-streaming-docker.json,1,0,0,0,0,2,1,2,0,0,2,0,0,0,0,0,
neo4j_docker-neo4j.json,,,,,,,,,,,,,,,,,
nextcloud_docker.json,,,,,,,,,,,,,,,,,
nginxinc_docker-docker-nginx.json,1,1,3,78,0,0,0,3,0,0,1,0,0,1,0,0,
nodejs_docker-node.json,1,0,2,71,0,1,1,1,0,0,0,0,0,0,0,0,
odoo_docker.json,,,,,,,,,,,,,,,,,
OpenLiberty_ci.docker.json,2,0,0,4,0,3,0,0,0,0,0,0,1,0,0,0,
orientechnologies_orientdb-docker.json,1,0,5,12,3,0,0,1,1,0,2,1,1,0,0,0,
osrf_docker_images.json,1,0,1,4,0,1,0,0,2,0,0,0,0,0,0,0,
Perl_docker-perl.json,1,1,0,35,0,1,0,2,2,0,0,0,0,0,0,0,
plone_plone.docker.json,1,6,8,24,1,2,1,3,1,0,1,0,0,0,0,0,
postfixadmin_docker.json,1,1,3,33,0,1,1,1,0,0,0,0,2,0,0,0,
Quantisan_docker-clojure.json,1,0,1,10,0,0,0,4,1,0,0,0,0,0,0,0,
Raku_docker.json,,,,,,,,,,,,,,,,,
rapidoid_docker-rapidoid.json,,,,,,,,,,,,,,,,,
rethinkdb_rethinkdb-dockerfiles.json,,,,,,,,,,,,,,,,,
rocker-org_rocker.json,1,4,3,31,0,0,0,1,0,0,0,0,0,0,0,0,
RocketChat_Docker.Official.Image.json,1,0,9,65,1,0,0,2,2,1,1,0,0,0,0,0,
rust-lang_docker-rust.json,1,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,
Silverpeas_docker-silverpeas-prod.json,1,1,9,52,3,3,0,1,1,0,2,1,1,0,0,0,
SonarSource_docker-sonarqube.json,2,0,12,27,0,3,1,1,1,0,1,0,4,0,0,0,
SWI-Prolog_docker-swipl.json,1,1,1,63,0,0,0,1,0,0,0,0,0,0,0,0,
TeamSpeak-Systems_teamspeak-linux-docker-images.json,1,0,1,15,1,1,1,1,1,0,3,0,2,0,0,0,
tianon_docker-bash.json,,,,,,,,,,,,,,,,,
TimWolla_docker-adminer.json,1,0,3,37,0,2,2,5,1,1,1,0,0,1,0,0,
TimWolla_docker-spiped.json,1,0,3,21,1,1,1,1,1,0,0,0,0,0,0,0,
tomitribe_docker-tomee.json,1,0,16,16,0,0,0,2,1,0,1,0,0,0,0,0,
varnish_docker-varnish.json,,,,,,,,,,,,,,,,,
WASdev_ci.docker.json,1,7,4,40,0,1,0,3,0,1,2,0,0,0,0,0,
YOURLS_docker-yourls.json,1,0,2,18,0,3,1,1,0,0,0,0,0,0,0,0,
znc_znc-docker.json,1,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,
